,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty
81,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7127,COC=O,0.2873,,,,,908.952685895667 kilogram * meter ** 2 / mole / second ** 2,16.08277639489523 kilogram * meter ** 2 / mole / second ** 2,,,,
82,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7581,COC=O,0.2419,,,,,,,,,3.8612214479287563e-07 meter ** 3 / mole,1.622436200710142e-08 meter ** 3 / mole
83,298.15 kelvin,100.0 kilopascal,2,1,CC(C)(C)O,1.0,,,0.8093726036816498 gram / milliliter,0.00038027630089701957 gram / milliliter,,,,,6.68713264249992 dimensionless,1.024318619512878 dimensionless,,
84,303.15 kelvin,101.325 kilopascal,2,1,CC(C)(CO)N,1.0,,,0.9715984747618607 gram / milliliter,0.000380981081938031 gram / milliliter,,,,,7.906716186847123 dimensionless,1.0201678344792926 dimensionless,,
85,298.15 kelvin,101.0 kilopascal,2,1,CC(C)CO,1.0,,,0.8120262129519576 gram / milliliter,0.0003281023561841724 gram / milliliter,,,,,6.470351917119808 dimensionless,0.6677494774502483 dimensionless,,
86,300.15 kelvin,101.325 kilopascal,2,1,CC(C)O,1.0,,,0.7939757046672381 gram / milliliter,0.0003209310380894099 gram / milliliter,,,,,8.117938717649158 dimensionless,0.8376737562459902 dimensionless,,
87,289.15 kelvin,101.325 kilopascal,2,1,CC=O,1.0,,,0.7958183188508863 gram / milliliter,0.00028985137142815905 gram / milliliter,,,,,,,,
88,298.15 kelvin,101.325 kilopascal,2,1,CCC#N,1.0,,,0.7725576603912027 gram / milliliter,0.00030097565720336853 gram / milliliter,,,,,,,,
89,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7615000000000001,CCC(=O)C,0.2385,,,,,296.58726930960256 kilogram * meter ** 2 / mole / second ** 2,16.214480394932256 kilogram * meter ** 2 / mole / second ** 2,,,,
90,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7340000000000001,CCC(=O)C,0.266,,,,,,,,,-3.7280498614481567e-07 meter ** 3 / mole,1.6551344559351985e-08 meter ** 3 / mole
91,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.22030000000000005,CCC(=O)C,0.7797,,,,,220.07337221265698 kilogram * meter ** 2 / mole / second ** 2,15.702449152425347 kilogram * meter ** 2 / mole / second ** 2,,,,
92,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.212,CCC(=O)C,0.7879999999999999,,,,,,,,,-3.324484750377829e-07 meter ** 3 / mole,1.5769171595119527e-08 meter ** 3 / mole
